Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
[W/m2]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.00	25.94	25.94	30.45	35.69	35.22	28.54	2.25
0.00	25.49	25.49	30.09	35.47	35.01	28.54	2.25
0.00	25.05	25.05	29.73	35.24	34.79	28.54	2.25
0.00	24.61	24.61	29.37	35.01	34.57	28.54	2.25
0.00	24.18	24.18	29.01	34.77	34.34	28.54	2.25
0.00	23.75	23.75	28.64	34.53	34.10	28.54	2.25
0.00	23.33	23.33	28.28	34.28	33.86	28.54	2.25
0.00	22.91	22.91	27.91	34.02	33.61	28.54	2.25
0.00	22.50	22.50	27.55	33.76	33.35	28.54	2.25
0.00	22.10	22.10	27.19	33.49	33.09	28.54	2.25
0.00	21.70	21.70	26.82	33.22	32.83	28.54	2.25
0.00	21.31	21.31	26.46	32.94	32.56	28.54	2.25
0.00	20.93	20.93	26.11	32.66	32.28	28.54	2.25
0.00	20.56	20.56	25.75	32.37	32.00	28.54	2.25
0.00	20.20	20.20	25.40	32.08	31.72	28.54	2.25
0.00	19.84	19.84	25.05	31.79	31.44	28.54	2.25
0.00	19.50	19.50	24.71	31.50	31.15	28.54	2.25
0.00	19.17	19.17	24.37	31.20	30.86	28.54	2.25
0.00	18.85	18.85	24.03	30.90	30.56	28.54	2.25
0.00	18.54	18.54	23.70	30.60	30.27	28.54	2.25
0.00	18.25	18.25	23.38	30.29	29.97	28.54	2.25
0.00	17.96	17.96	23.06	29.99	29.67	28.54	2.25
0.00	17.69	17.69	22.75	29.68	29.37	28.54	2.25
0.00	17.43	17.43	22.45	29.37	29.07	28.54	2.25
0.00	17.19	17.19	22.15	29.07	28.77	28.54	2.25
0.00	16.96	16.96	21.86	28.76	28.47	28.54	2.25
0.00	16.74	16.74	21.58	28.46	28.16	28.54	2.25
0.00	16.54	16.54	21.31	28.15	27.86	28.54	2.25
0.00	16.35	16.35	21.04	27.85	27.56	28.54	2.25
0.00	16.18	16.18	20.79	27.54	27.27	28.54	2.25
0.00	16.02	16.02	20.54	27.24	26.97	28.54	2.25
