#Hora	Tsa	Ta	T_n	DeltaT_n	Twallint	Tint
#[h]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.000000	24.850970	24.850970	27.394355	1.250000	28.530591	27.394355
0.166667	24.725870	24.725870	27.394355	1.250000	28.524786	27.394355
0.333333	24.601963	24.601963	27.394355	1.250000	28.518528	27.394355
0.500000	24.479395	24.479395	27.394355	1.250000	28.511821	27.394355
0.666667	24.358313	24.358313	27.394355	1.250000	28.504668	27.394355
0.833333	24.238860	24.238860	27.394355	1.250000	28.497073	27.394355
1.000000	24.121179	24.121179	27.394355	1.250000	28.489042	27.394355
1.166667	24.005408	24.005408	27.394355	1.250000	28.480578	27.394355
1.333333	23.891686	23.891686	27.394355	1.250000	28.471688	27.394355
1.500000	23.780147	23.780147	27.394355	1.250000	28.462378	27.394355
1.666667	23.670924	23.670924	27.394355	1.250000	28.452655	27.394355
1.833333	23.564148	23.564148	27.394355	1.250000	28.442526	27.394355
2.000000	23.459943	23.459943	27.394355	1.250000	28.432001	27.394355
2.166667	23.358436	23.358436	27.394355	1.250000	28.421086	27.394355
2.333333	23.259745	23.259745	27.394355	1.250000	28.409792	27.394355
2.500000	23.163988	23.163988	27.394355	1.250000	28.398127	27.394355
2.666667	23.071279	23.071279	27.394355	1.250000	28.386102	27.394355
2.833333	22.981728	22.981728	27.394355	1.250000	28.373728	27.394355
3.000000	22.895442	22.895442	27.394355	1.250000	28.361015	27.394355
3.166667	22.812522	22.812522	27.394355	1.250000	28.347975	27.394355
3.333333	22.733068	22.733068	27.394355	1.250000	28.334620	27.394355
3.500000	22.657174	22.657174	27.394355	1.250000	28.320962	27.394355
3.666667	22.584929	22.584929	27.394355	1.250000	28.307014	27.394355
3.833333	22.516420	22.516420	27.394355	1.250000	28.292790	27.394355
4.000000	22.451729	22.451729	27.394355	1.250000	28.278302	27.394355
4.166667	22.390931	22.390931	27.394355	1.250000	28.263566	27.394355
4.333333	22.334099	22.334099	27.394355	1.250000	28.248594	27.394355
4.500000	22.281301	22.281301	27.394355	1.250000	28.233403	27.394355
4.666667	22.232600	22.232600	27.394355	1.250000	28.218006	27.394355
4.833333	22.188052	22.188052	27.394355	1.250000	28.202419	27.394355
5.000000	22.147712	22.147712	27.394355	1.250000	28.186658	27.394355
5.166667	22.111627	22.111627	27.394355	1.250000	28.170738	27.394355
5.333333	22.079839	22.079839	27.394355	1.250000	28.154676	27.394355
5.500000	22.052388	22.052388	27.394355	1.250000	28.138488	27.394355
5.666667	22.029304	22.029304	27.394355	1.250000	28.122191	27.394355
5.833333	22.010616	22.010616	27.394355	1.250000	28.105800	27.394355
6.000000	21.996346	21.996346	27.394355	1.250000	28.089333	27.394355
6.166667	21.986511	21.986511	27.394355	1.250000	28.072807	27.394355
6.333333	21.981123	21.981123	27.394355	1.250000	28.056239	27.394355
6.500000	28.658189	21.980557	27.394355	1.250000	28.039647	27.394355
6.666667	28.715597	21.991019	27.394355	1.250000	28.023047	27.394355
6.833333	28.772524	22.014689	27.394355	1.250000	28.006473	27.394355
7.000000	28.828762	22.051484	27.394355	1.250000	27.990071	27.394355
7.166667	28.884093	22.101273	27.394355	1.250000	27.974125	27.394355
7.333333	28.938280	22.163880	27.394355	1.250000	27.958928	27.394355
7.500000	28.991077	22.239085	27.394355	1.250000	27.944696	27.394355
7.666667	29.042222	22.326621	27.394355	1.250000	27.931566	27.394355
7.833333	29.091443	22.426180	27.394355	1.250000	27.919623	27.394355
8.000000	29.138457	22.537409	27.394355	1.250000	27.908924	27.394355
8.166667	29.182971	22.659917	27.394355	1.250000	27.899510	27.394355
8.333333	29.224684	22.793269	27.394355	1.250000	27.891412	27.394355
8.500000	29.263287	22.936996	27.394355	1.250000	27.884651	27.394355
8.666667	29.298465	23.090589	27.394355	1.250000	27.879236	27.394355
8.833333	29.329899	23.253505	27.394355	1.250000	27.875167	27.394355
9.000000	29.357266	23.425170	27.394355	1.250000	27.872431	27.394355
9.166667	29.380240	23.604976	27.394355	1.250000	27.871003	27.394355
9.333333	29.398496	23.792290	27.394355	1.250000	27.870821	27.394355
9.500000	29.411710	23.986448	27.394355	1.250000	27.871821	27.394355
9.666667	29.419561	24.186765	27.394355	1.250000	27.873955	27.394355
9.833333	29.421730	24.392534	27.394355	1.250000	27.877174	27.394355
10.000000	29.417906	24.603027	27.394355	1.250000	27.881427	27.394355
10.166667	29.407785	24.817501	27.394355	1.250000	27.886655	27.394355
10.333333	29.391071	25.035199	27.394355	1.250000	27.892797	27.394355
10.500000	29.367481	25.255351	27.394355	1.250000	27.899789	27.394355
10.666667	29.336741	25.477180	27.394355	1.250000	27.907565	27.394355
10.833333	29.298595	25.699902	27.394355	1.250000	27.916059	27.394355
11.000000	29.252798	25.922731	27.394355	1.250000	27.925202	27.394355
11.166667	29.199125	26.144878	27.394355	1.250000	27.934929	27.394355
11.333333	29.137369	26.365560	27.394355	1.250000	27.945174	27.394355
11.500000	29.067343	26.583997	27.394355	1.250000	27.955874	27.394355
11.666667	28.988880	26.799417	27.394355	1.250000	27.966964	27.394355
11.833333	28.901839	27.011059	27.394355	1.250000	27.978384	27.394355
12.000000	28.806099	27.218176	27.394355	1.250000	27.990074	27.394355
12.166667	29.006192	27.420036	27.394355	1.250000	28.001978	27.394355
12.333333	29.196784	27.615926	27.394355	1.250000	28.014038	27.394355
12.500000	29.377194	27.805154	27.394355	1.250000	28.026201	27.394355
12.666667	29.546775	27.987051	27.394355	1.250000	28.038426	27.394355
12.833333	29.704911	28.160976	27.394355	1.250000	28.050680	27.394355
13.000000	29.851022	28.326313	27.394355	1.250000	28.062948	27.394355
13.166667	29.984568	28.482478	27.394355	1.250000	28.075221	27.394355
13.333333	30.105047	28.628920	27.394355	1.250000	28.087499	27.394355
13.500000	30.211999	28.765122	27.394355	1.250000	28.099782	27.394355
13.666667	30.305010	28.890603	27.394355	1.250000	28.112075	27.394355
13.833333	30.383706	29.004918	27.394355	1.250000	28.124385	27.394355
14.000000	30.447765	29.107665	27.394355	1.250000	28.136718	27.394355
14.166667	30.496910	29.198480	27.394355	1.250000	28.149083	27.394355
14.333333	30.530911	29.277043	27.394355	1.250000	28.161488	27.394355
14.500000	30.549592	29.343076	27.394355	1.250000	28.173939	27.394355
14.666667	30.552823	29.396345	27.394355	1.250000	28.186443	27.394355
14.833333	30.540529	29.436664	27.394355	1.250000	28.199004	27.394355
15.000000	30.512683	29.463888	27.394355	1.250000	28.211624	27.394355
15.166667	30.469313	29.477922	27.394355	1.250000	28.224301	27.394355
15.333333	30.411348	29.479569	27.394355	1.250000	28.237031	27.394355
15.500000	30.345476	29.475382	27.394355	1.250000	28.249807	27.394355
15.666667	30.273219	29.466747	27.394355	1.250000	28.262617	27.394355
15.833333	30.194727	29.453673	27.394355	1.250000	28.275447	27.394355
16.000000	30.110163	29.436177	27.394355	1.250000	28.288280	27.394355
16.166667	30.019697	29.414278	27.394355	1.250000	28.301094	27.394355
16.333333	29.923507	29.388003	27.394355	1.250000	28.313868	27.394355
16.500000	29.821779	29.357383	27.394355	1.250000	28.326575	27.394355
16.666667	29.714710	29.322454	27.394355	1.250000	28.339191	27.394355
16.833333	29.602500	29.283258	27.394355	1.250000	28.351687	27.394355
17.000000	29.485358	29.239842	27.394355	1.250000	28.364036	27.394355
17.166667	29.363502	29.192257	27.394355	1.250000	28.376208	27.394355
17.333333	29.237151	29.140559	27.394355	1.250000	28.388174	27.394355
17.500000	29.106535	29.084810	27.394355	1.250000	28.399905	27.394355
17.666667	29.025076	29.025076	27.394355	1.250000	28.411372	27.394355
17.833333	28.961429	28.961429	27.394355	1.250000	28.422544	27.394355
18.000000	28.893943	28.893943	27.394355	1.250000	28.433394	27.394355
18.166667	28.822699	28.822699	27.394355	1.250000	28.443898	27.394355
18.333333	28.747781	28.747781	27.394355	1.250000	28.454031	27.394355
18.500000	28.669279	28.669279	27.394355	1.250000	28.463775	27.394355
18.666667	28.587286	28.587286	27.394355	1.250000	28.473116	27.394355
18.833333	28.501899	28.501899	27.394355	1.250000	28.482040	27.394355
19.000000	28.413219	28.413219	27.394355	1.250000	28.490536	27.394355
19.166667	28.321352	28.321352	27.394355	1.250000	28.498596	27.394355
19.333333	28.226408	28.226408	27.394355	1.250000	28.506211	27.394355
19.500000	28.128498	28.128498	27.394355	1.250000	28.513376	27.394355
19.666667	28.027739	28.027739	27.394355	1.250000	28.520083	27.394355
19.833333	27.924251	27.924251	27.394355	1.250000	28.526330	27.394355
20.000000	27.818156	27.818156	27.394355	1.250000	28.532112	27.394355
20.166667	27.709581	27.709581	27.394355	1.250000	28.537428	27.394355
20.333333	27.598655	27.598655	27.394355	1.250000	28.542275	27.394355
20.500000	27.485509	27.485509	27.394355	1.250000	28.546652	27.394355
20.666667	27.370278	27.370278	27.394355	1.250000	28.550558	27.394355
20.833333	27.253099	27.253099	27.394355	1.250000	28.553993	27.394355
21.000000	27.134111	27.134111	27.394355	1.250000	28.556956	27.394355
21.166667	27.013455	27.013455	27.394355	1.250000	28.559446	27.394355
21.333333	26.891274	26.891274	27.394355	1.250000	28.561465	27.394355
21.500000	26.767714	26.767714	27.394355	1.250000	28.563013	27.394355
21.666667	26.642921	26.642921	27.394355	1.250000	28.564089	27.394355
21.833333	26.517044	26.517044	27.394355	1.250000	28.564695	27.394355
22.000000	26.390232	26.390232	27.394355	1.250000	28.564831	27.394355
22.166667	26.262636	26.262636	27.394355	1.250000	28.564497	27.394355
22.333333	26.134408	26.134408	27.394355	1.250000	28.563695	27.394355
22.500000	26.005698	26.005698	27.394355	1.250000	28.562423	27.394355
22.666667	25.876662	25.876662	27.394355	1.250000	28.560692	27.394355
22.833333	25.747451	25.747451	27.394355	1.250000	28.558512	27.394355
23.000000	25.618220	25.618220	27.394355	1.250000	28.555883	27.394355
23.166667	25.489121	25.489121	27.394355	1.250000	28.552805	27.394355
23.333333	25.360308	25.360308	27.394355	1.250000	28.549274	27.394355
23.500000	25.231935	25.231935	27.394355	1.250000	28.545289	27.394355
23.666667	25.104153	25.104153	27.394355	1.250000	28.540849	27.394355
23.833333	24.977114	24.977114	27.394355	1.250000	28.535953	27.394355
24.000000	24.850970	24.850970	27.394355	1.250000	28.530602	27.394355
