#Hora	Tsa	Ta	T_n	DeltaT_n	Twallint	Tint
#[h]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
14.833333	46.737941	39.660236	28.539150	2.250000	30.525239	28.539150
15.000000	47.128903	39.855065	28.539150	2.250000	30.725869	28.539150
15.166667	47.478594	40.020728	28.539150	2.250000	30.926079	28.539150
15.333333	47.786277	40.156823	28.539150	2.250000	31.125231	28.539150
15.500000	48.051308	40.263019	28.539150	2.250000	31.322692	28.539150
15.666667	48.273131	40.339058	28.539150	2.250000	31.517832	28.539150
15.833333	48.451287	40.384755	28.539150	2.250000	31.710031	28.539150
16.000000	48.585406	40.400000	28.539150	2.250000	31.898678	28.539150
16.166667	48.680850	40.390389	28.539150	2.250000	32.083179	28.539150
16.333333	48.743050	40.361571	28.539150	2.250000	32.262955	28.539150
16.500000	48.771856	40.313590	28.539150	2.250000	32.437459	28.539150
16.666667	48.767165	40.246520	28.539150	2.250000	32.606192	28.539150
16.833333	48.728927	40.160463	28.539150	2.250000	32.768698	28.539150
17.000000	48.657141	40.055551	28.539150	2.250000	32.924569	28.539150
17.166667	48.551855	39.931945	28.539150	2.250000	33.073435	28.539150
17.333333	48.413170	39.789834	28.539150	2.250000	33.214966	28.539150
17.500000	48.241234	39.629436	28.539150	2.250000	33.348862	28.539150
17.666667	48.036245	39.450996	28.539150	2.250000	33.474852	28.539150
17.833333	47.798451	39.254788	28.539150	2.250000	33.592693	28.539150
18.000000	47.528146	39.041112	28.539150	2.250000	33.702167	28.539150
18.166667	47.225674	38.810296	28.539150	2.250000	33.803076	28.539150
18.333333	46.891425	38.562693	28.539150	2.250000	33.895244	28.539150
18.500000	46.525836	38.298682	28.539150	2.250000	33.978517	28.539150
18.666667	38.018667	38.018667	28.539150	2.250000	34.052754	28.539150
18.833333	37.723079	37.723079	28.539150	2.250000	34.115670	28.539150
19.000000	37.412368	37.412368	28.539150	2.250000	34.154924	28.539150
19.166667	37.087012	37.087012	28.539150	2.250000	34.165338	28.539150
19.333333	36.747508	36.747508	28.539150	2.250000	34.148449	28.539150
19.500000	36.394376	36.394376	28.539150	2.250000	34.107776	28.539150
19.666667	36.028158	36.028158	28.539150	2.250000	34.047268	28.539150
19.833333	35.649414	35.649414	28.539150	2.250000	33.970613	28.539150
20.000000	35.258724	35.258724	28.539150	2.250000	33.880998	28.539150
20.166667	34.856687	34.856687	28.539150	2.250000	33.781077	28.539150
20.333333	34.443918	34.443918	28.539150	2.250000	33.673006	28.539150
20.500000	34.021050	34.021050	28.539150	2.250000	33.558517	28.539150
20.666667	33.588731	33.588731	28.539150	2.250000	33.438982	28.539150
20.833333	33.147622	33.147622	28.539150	2.250000	33.315481	28.539150
21.000000	32.698398	32.698398	28.539150	2.250000	33.188853	28.539150
21.166667	32.241749	32.241749	28.539150	2.250000	33.059746	28.539150
21.333333	31.778374	31.778374	28.539150	2.250000	32.928657	28.539150
21.500000	31.308982	31.308982	28.539150	2.250000	32.795960	28.539150
21.666667	30.834292	30.834292	28.539150	2.250000	32.661939	28.539150
21.833333	30.355031	30.355031	28.539150	2.250000	32.526802	28.539150
22.000000	29.871933	29.871933	28.539150	2.250000	32.390706	28.539150
22.166667	29.385739	29.385739	28.539150	2.250000	32.253764	28.539150
22.333333	28.897192	28.897192	28.539150	2.250000	32.116063	28.539150
22.500000	28.407042	28.407042	28.539150	2.250000	31.977667	28.539150
22.666667	27.916038	27.916038	28.539150	2.250000	31.838629	28.539150
22.833333	27.424934	27.424934	28.539150	2.250000	31.698996	28.539150
23.000000	26.934480	26.934480	28.539150	2.250000	31.558809	28.539150
23.166667	26.445428	26.445428	28.539150	2.250000	31.418114	28.539150
23.333333	25.958528	25.958528	28.539150	2.250000	31.276959	28.539150
23.500000	25.474525	25.474525	28.539150	2.250000	31.135401	28.539150
23.666667	24.994160	24.994160	28.539150	2.250000	30.993480	28.539150
23.833333	24.518169	24.518169	28.539150	2.250000	30.851521	28.539150
24.000000	24.047281	24.047281	28.539150	2.250000	30.709410	28.539150
