Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
[W/m2]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.00	26.02	26.02	29.87	30.86	28.54	28.54	2.25
0.00	25.57	25.57	29.53	30.75	28.54	28.54	2.25
0.00	25.13	25.13	29.19	30.63	28.54	28.54	2.25
0.00	24.70	24.70	28.85	30.51	28.54	28.54	2.25
0.00	24.27	24.27	28.50	30.38	28.54	28.54	2.25
0.00	23.84	23.84	28.16	30.26	28.54	28.54	2.25
0.00	23.41	23.41	27.82	30.14	28.54	28.54	2.25
0.00	23.00	23.00	27.48	30.02	28.54	28.54	2.25
0.00	22.59	22.59	27.14	29.89	28.54	28.54	2.25
0.00	22.18	22.18	26.80	29.77	28.54	28.54	2.25
0.00	21.79	21.79	26.47	29.64	28.54	28.54	2.25
0.00	21.40	21.40	26.14	29.52	28.54	28.54	2.25
0.00	21.02	21.02	25.81	29.39	28.54	28.54	2.25
0.00	20.64	20.64	25.48	29.27	28.54	28.54	2.25
0.00	20.28	20.28	25.16	29.14	28.54	28.54	2.25
0.00	19.93	19.93	24.84	29.01	28.54	28.54	2.25
0.00	19.58	19.58	24.53	28.89	28.54	28.54	2.25
0.00	19.25	19.25	24.22	28.76	28.54	28.54	2.25
0.00	18.93	18.93	23.91	28.64	28.54	28.54	2.25
0.00	18.62	18.62	23.61	28.51	28.54	28.54	2.25
0.00	18.32	18.32	23.32	28.39	28.54	28.54	2.25
0.00	18.04	18.04	23.04	28.27	28.54	28.54	2.25
0.00	17.76	17.76	22.76	28.15	28.54	28.54	2.25
0.00	17.50	17.50	22.48	28.03	28.54	28.54	2.25
0.00	17.25	17.25	22.22	27.91	28.54	28.54	2.25
0.00	17.02	17.02	21.96	27.79	28.54	28.54	2.25
0.00	16.80	16.80	21.71	27.67	28.54	28.54	2.25
0.00	16.59	16.59	21.47	27.56	28.54	28.54	2.25
0.00	16.40	16.40	21.24	27.45	28.54	28.54	2.25
0.00	16.23	16.23	21.01	27.34	28.54	28.54	2.25
0.00	16.06	16.06	20.80	27.23	28.54	28.54	2.25
0.00	15.92	15.92	20.59	27.12	28.54	28.54	2.25
0.00	15.79	15.79	20.40	27.02	28.54	28.54	2.25
0.00	15.67	15.67	20.21	26.92	28.54	28.54	2.25
0.00	15.57	15.57	20.03	26.82	28.54	28.54	2.25
0.00	15.49	15.49	19.87	26.72	28.54	28.54	2.25
0.00	15.42	15.42	19.71	26.63	28.54	28.54	2.25
0.00	15.36	15.36	19.57	26.54	28.54	28.54	2.25
0.00	15.33	15.33	19.43	26.45	28.54	28.54	2.25
0.00	15.31	15.31	19.31	26.37	28.54	28.54	2.25
1.40	15.32	15.30	19.20	26.29	28.54	28.54	2.25
8.67	15.46	15.33	19.12	26.21	28.54	28.54	2.25
15.92	15.64	15.39	19.06	26.13	28.54	28.54	2.25
23.13	15.86	15.50	19.03	26.06	28.54	28.54	2.25
30.28	16.11	15.64	19.02	26.00	28.54	28.54	2.25
37.37	16.40	15.83	19.04	25.93	28.54	28.54	2.25
44.36	16.73	16.04	19.08	25.88	28.54	28.54	2.25
51.25	17.09	16.30	19.14	25.83	28.54	28.54	2.25
58.02	17.49	16.59	19.23	25.78	28.54	28.54	2.25
64.65	17.92	16.92	19.35	25.74	28.54	28.54	2.25
71.12	18.38	17.28	19.48	25.71	28.54	28.54	2.25
77.43	18.87	17.68	19.65	25.68	28.54	28.54	2.25
83.55	19.39	18.10	19.83	25.66	28.54	28.54	2.25
89.47	19.94	18.56	20.04	25.65	28.54	28.54	2.25
95.18	20.51	19.05	20.28	25.65	28.54	28.54	2.25
100.66	21.11	19.56	20.53	25.65	28.54	28.54	2.25
105.91	21.73	20.10	20.81	25.66	28.54	28.54	2.25
110.90	22.37	20.66	21.11	25.68	28.54	28.54	2.25
115.63	23.03	21.25	21.43	25.71	28.54	28.54	2.25
120.08	23.70	21.86	21.77	25.75	28.54	28.54	2.25
124.25	24.39	22.48	22.13	25.79	28.54	28.54	2.25
128.12	25.10	23.13	22.50	25.84	28.54	28.54	2.25
131.68	25.81	23.78	22.90	25.90	28.54	28.54	2.25
134.93	26.53	24.45	23.30	25.97	28.54	28.54	2.25
137.87	27.25	25.13	23.73	26.04	28.54	28.54	2.25
140.47	27.98	25.82	24.16	26.13	28.54	28.54	2.25
142.74	28.71	26.52	24.61	26.22	28.54	28.54	2.25
144.67	29.44	27.22	25.07	26.31	28.54	28.54	2.25
146.25	30.17	27.92	25.54	26.42	28.54	28.54	2.25
147.49	30.89	28.62	26.01	26.53	28.54	28.54	2.25
148.37	31.60	29.32	26.49	26.65	28.54	28.54	2.25
148.90	32.30	30.01	26.98	26.77	28.54	28.54	2.25
149.08	32.99	30.70	27.47	26.90	28.54	28.54	2.25
179.43	34.14	31.38	28.02	27.04	28.54	28.54	2.25
209.36	35.27	32.04	28.62	27.18	28.54	28.54	2.25
238.81	36.37	32.70	29.25	27.32	28.54	28.54	2.25
267.70	37.46	33.34	29.89	27.48	28.54	28.54	2.25
295.97	38.51	33.96	30.55	27.64	28.54	28.54	2.25
323.57	39.54	34.56	31.22	27.81	28.54	28.54	2.25
350.43	40.54	35.15	31.90	27.98	28.54	28.54	2.25
376.50	41.50	35.70	32.58	28.17	28.54	28.54	2.25
401.71	42.42	36.24	33.26	28.36	28.54	28.54	2.25
426.01	43.30	36.75	33.93	28.56	28.54	28.54	2.25
449.36	44.14	37.23	34.60	28.76	28.54	28.54	2.25
471.70	44.94	37.68	35.26	28.98	28.54	28.54	2.25
492.97	45.68	38.10	35.91	29.20	28.54	28.54	2.25
513.15	46.38	38.49	36.55	29.42	28.54	28.54	2.25
532.18	47.03	38.84	37.17	29.65	28.54	28.54	2.25
550.03	47.63	39.17	37.77	29.88	28.54	28.54	2.25
566.66	48.17	39.45	38.35	30.12	28.54	28.54	2.25
582.03	48.65	39.70	38.90	30.35	28.54	28.54	2.25
596.12	49.08	39.91	39.43	30.59	28.54	28.54	2.25
608.90	49.46	40.09	39.94	30.83	28.54	28.54	2.25
620.33	49.77	40.22	40.41	31.06	28.54	28.54	2.25
630.41	50.02	40.32	40.86	31.30	28.54	28.54	2.25
639.12	50.21	40.38	41.27	31.53	28.54	28.54	2.25
646.43	50.35	40.40	41.65	31.76	28.54	28.54	2.25
652.33	50.43	40.39	42.00	31.98	28.54	28.54	2.25
656.83	50.47	40.37	42.32	32.20	28.54	28.54	2.25
659.92	50.48	40.33	42.61	32.41	28.54	28.54	2.25
661.58	50.45	40.27	42.87	32.61	28.54	28.54	2.25
661.84	50.38	40.20	43.09	32.81	28.54	28.54	2.25
660.69	50.28	40.11	43.29	32.99	28.54	28.54	2.25
658.14	50.13	40.01	43.46	33.17	28.54	28.54	2.25
654.20	49.95	39.89	43.60	33.34	28.54	28.54	2.25
0.00	39.75	39.75	42.01	33.50	28.54	28.54	2.25
0.00	39.61	39.61	41.37	33.64	28.54	28.54	2.25
0.00	39.44	39.44	40.91	33.75	28.54	28.54	2.25
0.00	39.26	39.26	40.52	33.82	28.54	28.54	2.25
0.00	39.07	39.07	40.16	33.86	28.54	28.54	2.25
0.00	38.86	38.86	39.83	33.88	28.54	28.54	2.25
0.00	38.64	38.64	39.53	33.87	28.54	28.54	2.25
0.00	38.40	38.40	39.24	33.85	28.54	28.54	2.25
0.00	38.15	38.15	38.96	33.81	28.54	28.54	2.25
0.00	37.89	37.89	38.69	33.76	28.54	28.54	2.25
0.00	37.61	37.61	38.43	33.70	28.54	28.54	2.25
0.00	37.32	37.32	38.17	33.63	28.54	28.54	2.25
0.00	37.02	37.02	37.91	33.56	28.54	28.54	2.25
0.00	36.71	36.71	37.66	33.48	28.54	28.54	2.25
0.00	36.39	36.39	37.40	33.40	28.54	28.54	2.25
0.00	36.05	36.05	37.14	33.32	28.54	28.54	2.25
0.00	35.71	35.71	36.88	33.23	28.54	28.54	2.25
0.00	35.35	35.35	36.62	33.15	28.54	28.54	2.25
0.00	34.99	34.99	36.36	33.06	28.54	28.54	2.25
0.00	34.61	34.61	36.09	32.97	28.54	28.54	2.25
0.00	34.23	34.23	35.81	32.87	28.54	28.54	2.25
0.00	33.84	33.84	35.54	32.78	28.54	28.54	2.25
0.00	33.44	33.44	35.26	32.69	28.54	28.54	2.25
0.00	33.03	33.03	34.97	32.59	28.54	28.54	2.25
0.00	32.62	32.62	34.68	32.49	28.54	28.54	2.25
0.00	32.20	32.20	34.38	32.39	28.54	28.54	2.25
0.00	31.78	31.78	34.09	32.29	28.54	28.54	2.25
0.00	31.35	31.35	33.78	32.19	28.54	28.54	2.25
0.00	30.92	30.92	33.47	32.09	28.54	28.54	2.25
0.00	30.48	30.48	33.16	31.98	28.54	28.54	2.25
0.00	30.04	30.04	32.85	31.88	28.54	28.54	2.25
0.00	29.60	29.60	32.53	31.77	28.54	28.54	2.25
0.00	29.15	29.15	32.21	31.66	28.54	28.54	2.25
0.00	28.70	28.70	31.88	31.55	28.54	28.54	2.25
0.00	28.26	28.26	31.55	31.44	28.54	28.54	2.25
0.00	27.81	27.81	31.22	31.33	28.54	28.54	2.25
0.00	27.36	27.36	30.88	31.21	28.54	28.54	2.25
0.00	26.91	26.91	30.55	31.10	28.54	28.54	2.25
0.00	26.46	26.46	30.21	30.98	28.54	28.54	2.25
0.00	26.02	26.02	29.87	30.86	28.54	28.54	2.25
