Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
[W/m2]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
92.48	36.95	34.81	36.44	30.83	29.21	29.21	1.25
86.51	36.75	34.76	36.34	30.85	29.21	29.21	1.25
80.41	36.55	34.69	36.22	30.86	29.21	29.21	1.25
74.17	36.33	34.62	36.09	30.87	29.21	29.21	1.25
67.82	36.11	34.54	35.95	30.88	29.21	29.21	1.25
61.35	35.87	34.45	35.80	30.88	29.21	29.21	1.25
54.79	35.63	34.36	35.64	30.88	29.21	29.21	1.25
48.14	35.37	34.26	35.48	30.88	29.21	29.21	1.25
41.40	35.11	34.16	35.30	30.87	29.21	29.21	1.25
34.61	34.84	34.04	35.11	30.86	29.21	29.21	1.25
27.75	34.56	33.92	34.92	30.85	29.21	29.21	1.25
20.85	34.28	33.80	34.71	30.84	29.21	29.21	1.25
13.92	33.99	33.67	34.50	30.82	29.21	29.21	1.25
6.96	33.69	33.53	34.28	30.81	29.21	29.21	1.25
0.00	33.38	33.38	34.05	30.79	29.21	29.21	1.25
0.00	33.23	33.23	33.84	30.76	29.21	29.21	1.25
0.00	33.08	33.08	33.65	30.74	29.21	29.21	1.25
0.00	32.92	32.92	33.47	30.71	29.21	29.21	1.25
0.00	32.75	32.75	33.29	30.68	29.21	29.21	1.25
0.00	32.59	32.59	33.12	30.65	29.21	29.21	1.25
0.00	32.41	32.41	32.95	30.62	29.21	29.21	1.25
0.00	32.23	32.23	32.79	30.58	29.21	29.21	1.25
0.00	32.05	32.05	32.62	30.55	29.21	29.21	1.25
0.00	31.86	31.86	32.46	30.52	29.21	29.21	1.25
0.00	31.67	31.67	32.29	30.48	29.21	29.21	1.25
0.00	31.48	31.48	32.12	30.45	29.21	29.21	1.25
0.00	31.28	31.28	31.96	30.41	29.21	29.21	1.25
0.00	31.08	31.08	31.79	30.38	29.21	29.21	1.25
0.00	30.88	30.88	31.62	30.34	29.21	29.21	1.25
0.00	30.68	30.68	31.44	30.31	29.21	29.21	1.25
0.00	30.47	30.47	31.27	30.28	29.21	29.21	1.25
0.00	30.26	30.26	31.09	30.24	29.21	29.21	1.25
0.00	30.05	30.05	30.92	30.20	29.21	29.21	1.25
0.00	29.84	29.84	30.74	30.17	29.21	29.21	1.25
0.00	29.63	29.63	30.56	30.13	29.21	29.21	1.25
0.00	29.42	29.42	30.37	30.10	29.21	29.21	1.25
0.00	29.21	29.21	30.19	30.06	29.21	29.21	1.25
0.00	28.99	28.99	30.01	30.03	29.21	29.21	1.25
0.00	28.78	28.78	29.82	29.99	29.21	29.21	1.25
0.00	28.57	28.57	29.64	29.95	29.21	29.21	1.25
0.00	28.36	28.36	29.45	29.92	29.21	29.21	1.25
0.00	28.15	28.15	29.27	29.88	29.21	29.21	1.25
0.00	27.94	27.94	29.08	29.84	29.21	29.21	1.25
0.00	27.73	27.73	28.90	29.81	29.21	29.21	1.25
0.00	27.52	27.52	28.72	29.77	29.21	29.21	1.25
0.00	27.32	27.32	28.53	29.73	29.21	29.21	1.25
0.00	27.12	27.12	28.35	29.69	29.21	29.21	1.25
0.00	26.92	26.92	28.17	29.65	29.21	29.21	1.25
