24.163915	0.580730	0.578625
0.569302	0.580730	0.578625
26.377013	0.580730	0.578625
0.556260	0.580730	0.578625
28.589726	0.580730	0.578625
0.574217	0.580730	0.578625
30.802802	0.580730	0.578625
0.580683	0.580730	0.578625
33.016052	0.580730	0.578625
0.584639	0.580730	0.578625
35.229220	0.580730	0.578625
0.587170	0.580730	0.578625
37.398331	0.580730	0.578625
0.588344	0.580730	0.578625
39.611717	0.580730	0.578625
0.588295	0.580730	0.578625
41.824501	0.580730	0.578625
0.585635	0.580730	0.578625
44.037488	0.580730	0.578625
0.592753	0.580730	0.578625
