21.058544	0.574908	0.565804
0.548293	0.574908	0.565804
22.991734	0.574908	0.565804
0.562487	0.574908	0.565804
24.924523	0.574908	0.565804
0.570355	0.574908	0.565804
26.857966	0.574908	0.565804
0.575412	0.574908	0.565804
28.791216	0.574908	0.565804
0.578831	0.574908	0.565804
30.724832	0.574908	0.565804
0.581167	0.574908	0.565804
32.657553	0.574908	0.565804
0.582210	0.574908	0.565804
34.552866	0.574908	0.565804
0.581645	0.574908	0.565804
36.486181	0.574908	0.565804
0.576914	0.574908	0.565804
38.419265	0.574908	0.565804
0.591763	0.574908	0.565804
